preyID,Eaten_day,outcome,Rx,sal
4,3,1,0x,21
5,8,1,0x,21
6,9,0,0x,21
7,9,0,0x,21
8,9,0,0x,21
9,9,0,0x,21
10,9,0,0x,21
1,1,1,0x,22
2,1,1,0x,22
3,2,1,0x,22
4,2,1,0x,22
5,2,1,0x,22
6,2,1,0x,22
7,4,1,0x,22
8,4,1,0x,22
9,9,0,0x,22
10,9,0,0x,22
1,1,1,0x,29
2,1,1,0x,29
3,3,1,0x,29
4,9,0,0x,29
5,9,0,0x,29
6,9,0,0x,29
7,9,0,0x,29
8,9,0,0x,29
9,9,0,0x,29
10,9,0,0x,29
1,1,1,0x,30
2,1,1,0x,30
3,1,1,0x,30
4,1,1,0x,30
5,1,1,0x,30
6,1,1,0x,30
7,4,1,0x,30
8,4,1,0x,30
9,8,1,0x,30
10,9,0,0x,30
1,1,1,0x,37
2,1,1,0x,37
3,1,1,0x,37
4,1,1,0x,37
5,1,1,0x,37
6,1,1,0x,37
7,9,0,0x,37
8,9,0,0x,37
9,9,0,0x,37
10,9,0,0x,37
1,1,1,0x,38
2,1,1,0x,38
3,1,1,0x,38
4,1,1,0x,38
5,8,1,0x,38
6,9,0,0x,38
7,9,0,0x,38
8,9,0,0x,38
9,9,0,0x,38
10,9,0,0x,38
1,1,1,0x,42
2,1,1,0x,42
3,1,1,0x,42
4,1,1,0x,42
5,1,1,0x,42
6,3,1,0x,42
7,3,1,0x,42
8,5,1,0x,42
9,6,1,0x,42
10,9,0,0x,42
1,1,1,2x,5.1
2,2,1,2x,5.1
3,8,1,2x,5.1
4,8,1,2x,5.1
5,9,0,2x,5.1
6,9,0,2x,5.1
7,9,0,2x,5.1
8,9,0,2x,5.1
9,9,0,2x,5.1
10,9,0,2x,5.1
1,1,1,2x,9
2,1,1,2x,9
3,1,1,2x,9
4,4,1,2x,9
5,5,1,2x,9
6,9,0,2x,9
7,9,0,2x,9
8,9,0,2x,9
9,9,0,2x,9
10,9,0,2x,9
1,1,1,2x,12
2,2,1,2x,12
3,2,1,2x,12
4,2,1,2x,12
5,2,1,2x,12
6,3,1,2x,12
7,9,0,2x,12
8,9,0,2x,12
9,9,0,2x,12
10,9,0,2x,12
1,1,1,2x,15
2,2,1,2x,15
3,2,1,2x,15
4,2,1,2x,15
5,2,1,2x,15
6,2,1,2x,15
7,2,1,2x,15
8,9,0,2x,15
9,9,0,2x,15
10,9,0,2x,15
1,1,1,2x,39
2,1,1,2x,39
3,3,1,2x,39
4,8,1,2x,39
5,8,1,2x,39
6,9,0,2x,39
7,9,0,2x,39
8,9,0,2x,39
9,9,0,2x,39
10,9,0,2x,39
1,2,1,2x,43
2,4,1,2x,43
3,5,1,2x,43
4,9,0,2x,43
5,9,0,2x,43
6,9,0,2x,43
7,9,0,2x,43
8,9,0,2x,43
9,9,0,2x,43
10,9,0,2x,43
1,1,1,2x,44
2,2,1,2x,44
3,5,1,2x,44
4,6,1,2x,44
5,6,1,2x,44
6,6,1,2x,44
7,9,0,2x,44
8,9,0,2x,44
9,9,0,2x,44
10,9,0,2x,44
1,1,1,2x,45
2,1,1,2x,45
3,1,1,2x,45
4,2,1,2x,45
5,2,1,2x,45
6,2,1,2x,45
7,4,1,2x,45
8,9,0,2x,45
9,9,0,2x,45
10,9,0,2x,45
1,1,1,3x,10
2,1,1,3x,10
3,1,1,3x,10
4,1,1,3x,10
5,2,1,3x,10
6,2,1,3x,10
7,4,1,3x,10
8,9,0,3x,10
9,9,0,3x,10
10,9,0,3x,10
1,1,1,3x,17
2,1,1,3x,17
3,1,1,3x,17
4,2,1,3x,17
5,3,1,3x,17
6,3,1,3x,17
7,9,0,3x,17
8,9,0,3x,17
9,9,0,3x,17
10,9,0,3x,17
1,1,1,3x,19
2,3,1,3x,19
3,5,1,3x,19
4,6,1,3x,19
5,9,0,3x,19
6,9,0,3x,19
7,9,0,3x,19
8,9,0,3x,19
9,9,0,3x,19
10,9,0,3x,19
1,1,1,3x,20
2,1,1,3x,20
3,2,1,3x,20
4,8,1,3x,20
5,8,1,3x,20
6,9,0,3x,20
7,9,0,3x,20
8,9,0,3x,20
9,9,0,3x,20
10,9,0,3x,20
1,1,1,3x,23
2,1,1,3x,23
3,1,1,3x,23
4,1,1,3x,23
5,1,1,3x,23
6,9,0,3x,23
7,9,0,3x,23
8,9,0,3x,23
9,9,0,3x,23
10,9,0,3x,23
1,1,1,3x,31
2,1,1,3x,31
3,1,1,3x,31
4,8,1,3x,31
5,8,1,3x,31
6,9,0,3x,31
7,9,0,3x,31
8,9,0,3x,31
9,9,0,3x,31
10,9,0,3x,31
1,1,1,3x,32
2,1,1,3x,32
3,2,1,3x,32
4,2,1,3x,32
5,2,1,3x,32
6,5,1,3x,32
7,7,1,3x,32
8,9,0,3x,32
9,9,0,3x,32
10,9,0,3x,32
1,1,1,3x,36
2,1,1,3x,36
3,3,1,3x,36
4,3,1,3x,36
5,6,1,3x,36
6,9,0,3x,36
7,9,0,3x,36
8,9,0,3x,36
9,9,0,3x,36
10,9,0,3x,36
